DN,area_ha
"1",0.121
"11",0.121
"12",0.121
"4",0.061
"12",0.121
"16",0.121
"4",0.363
"12",0.182
"1",0.121
"11",0.182
"12",0.061
"4",0.121
"4",0.061
"1",0.121
"4",0.121
"16",4.239
"16",0.787
"4",1.332
"12",2.665
"16",0.485
"16",0.303
"16",10.174
"16",1.393
"12",0.424
"4",6.238
"11",0.121
"16",0.182
"1",0.303
"1",0.121
"9",1.454
"11",0.061
"4",0.121
"1",0.061
"9",0.121
"4",0.848
"13",0.121
"4",0.061
"9",0.303
"9",0.242
"9",0.061
"9",0.061
"4",0.545
"1",0.061
"16",0.303
"3",0.182
"16",0.061
"16",0.061
"1",0.121
"12",1.454
"11",0.121
"12",0.061
"12",0.121
"4",0.061
"12",0.121
"9",0.061
"13",0.061
"4",0.061
"4",0.121
"13",0.061
"16",0.121
"1",0.061
"13",0.061
"4",1.635
"16",0.666
"16",0.061
"4",0.242
"1",0.121
"16",0.061
"1",3.028
"9",0.121
"1",0.121
"4",1.999
"16",2.120
"16",0.606
"1",0.061
"16",0.182
"1",0.121
"16",0.121
"1",0.121
"4",0.121
"16",0.061
"9",0.787
"9",0.061
"11",0.121
"9",0.182
"12",1.211
"4",0.363
"4",0.061
"9",0.121
"16",0.061
"16",0.242
"13",0.061
"13",0.061
"4",0.121
"16",0.121
"4",0.363
"4",0.303
"16",0.182
"4",0.061
"16",0.121
"9",0.061
"9",0.121
"11",0.363
"16",0.121
"12",0.061
"11",0.121
"4",0.061
"13",0.061
"1",0.061
"4",0.061
"9",0.061
"12",0.121
"11",0.061
"13",0.061
"9",0.061
"4",0.061
"16",0.121
"13",0.061
"4",0.061
"4",0.061
"4",0.121
"13",0.061
"12",8.660
"4",1.393
"4",0.727
"16",10.962
"1",0.485
"11",2.665
"4",1.454
"1",0.242
"9",0.363
"9",10.477
"4",0.969
"4",0.606
"16",0.061
"4",0.061
"1",0.061
"13",0.121
"13",0.303
"13",0.242
"13",0.061
"16",0.242
"16",0.121
"9",0.303
"4",0.061
"16",0.242
"16",2.907
"16",0.061
"13",0.242
"1",0.061
"4",0.061
"9",44.872
"13",0.121
"12",0.182
"1",0.121
"9",0.121
"16",0.121
"4",0.121
"4",0.121
"13",0.182
"1",0.121
"4",0.061
"16",2.483
"9",0.061
"4",0.061
"12",0.061
"4",0.121
"4",2.483
"9",0.121
"4",0.061
"4",0.121
"4",0.061
"4",99.918
"13",0.061
"4",0.061
"13",0.121
"16",0.121
"16",0.061
"9",0.303
"12",0.061
"16",0.061
"16",0.061
"4",0.061
"16",0.121
"9",0.061
"13",0.061
"4",0.121
"3",0.061
"1",0.121
"13",0.121
"12",0.121
"4",0.061
"4",0.242
"9",0.061
"12",0.061
"4",0.182
"12",0.242
"4",0.303
"16",0.061
"16",3.695
"4",0.061
"4",0.303
"1",6.359
"16",3.392
"16",0.485
"4",0.061
"12",0.121
"9",0.061
"16",1.211
"1",0.061
"4",0.061
"16",0.121
"9",0.061
"12",0.121
"16",4.361
"12",0.121
"12",0.061
"9",0.121
"12",0.061
"4",0.121
"16",0.121
"16",0.121
"13",0.061
"1",2.665
"4",0.182
"4",0.121
"12",0.061
"16",0.061
"16",0.121
"1",0.121
"16",4.421
"4",3.089
"1",0.303
"9",0.485
"16",0.242
"16",0.121
"12",0.121
"1",0.061
"13",0.121
"13",0.848
"4",0.061
"16",0.242
"13",0.182
"13",0.121
"16",0.121
"9",0.121
"4",0.606
"12",0.061
"16",0.061
"16",0.909
"13",0.182
"16",0.363
"12",0.303
"16",2.059
"16",0.061
"16",0.606
"16",0.121
"1",0.061
"1",0.061
"1",0.121
"12",0.121
"4",0.061
"16",0.121
"12",0.061
"4",0.121
"12",0.182
"16",0.061
"9",0.909
"4",0.121
"4",1.635
"9",0.061
"4",0.121
"16",0.061
"4",0.121
"16",0.182
"9",0.182
"1",0.061
"9",0.485
"12",0.182
"4",0.485
"1",0.182
"1",0.242
"9",0.121
"16",0.121
"4",0.061
"1",0.121
"4",0.061
"4",0.061
"1",0.121
"12",0.061
"4",0.121
"12",0.182
"16",0.666
"4",0.061
"12",0.121
"16",0.061
"1",0.061
"16",0.121
"16",0.121
"16",0.727
"9",0.061
"4",0.121
"1",0.061
"9",0.121
"16",0.303
"4",0.061
"1",0.121
"12",0.606
"16",0.727
"16",0.121
"16",0.061
"9",0.061
"12",0.061
"1",0.242
"16",0.121
"13",0.061
"12",0.121
"12",0.121
"1",0.061
"16",0.061
"4",0.121
"9",0.061
"16",0.121
"4",0.061
"1",0.182
"16",0.061
"9",0.061
"4",0.121
"16",0.363
"9",0.182
"9",0.182
"12",0.242
"16",0.182
"9",0.061
"1",0.121
"9",0.061
"16",0.061
"9",0.182
"1",0.061
"12",0.061
"13",0.061
"4",13.204
"9",0.606
"16",0.303
"4",35.129
"16",4.906
"12",0.303
"4",0.061
"12",0.061
"16",0.121
"4",0.121
"12",0.848
"4",0.061
"12",0.061
"12",0.061
"16",1.151
"4",0.363
"16",0.061
"16",0.485
"1",1.030
"12",0.121
"16",0.121
"13",1.151
"16",0.121
"4",0.061
"4",0.061
"4",0.121
"12",0.061
"9",0.061
"12",0.909
"16",0.121
"9",0.485
"16",0.121
"16",0.121
"4",0.061
"11",0.121
"9",0.061
"12",0.061
"9",0.121
"12",0.061
"16",0.061
"12",0.061
"9",0.121
"16",0.061
"4",0.121
"16",0.242
"16",0.061
"4",0.061
"9",0.061
"12",0.121
"9",0.061
"13",0.121
"16",0.121
"1",0.303
"16",0.121
"4",0.424
"16",0.061
"4",0.121
"16",0.061
"4",2.665
"12",0.182
"16",0.242
"4",0.242
"9",3.695
"4",0.061
"11",0.545
"12",0.061
"9",0.061
"12",0.303
"4",0.303
"16",0.061
"1",0.242
"1",0.182
"1",0.061
"12",0.303
"12",0.545
"9",0.061
"16",0.061
"9",0.909
"12",0.182
"4",0.121
"4",0.121
"12",0.121
"1",0.061
"12",0.363
"16",0.424
"9",0.061
"16",0.121
"13",0.242
"4",0.061
"1",0.182
"13",0.242
"16",0.061
"9",0.121
"12",0.121
"4",0.061
"16",0.727
"16",0.182
"9",0.848
"12",0.121
"11",0.061
"9",0.121
"4",0.121
"13",0.182
"1",0.061
"12",0.121
"11",0.061
"1",0.061
"4",0.121
"12",0.242
"1",0.061
"1",0.061
"9",0.061
"13",0.061
"4",0.061
"16",0.061
"16",0.121
"16",0.061
"4",0.121
"16",0.121
"12",0.061
"16",0.121
"12",0.061
"12",5.875
"12",1.272
"4",1.333
"12",0.969
"4",1.151
"9",0.485
"16",0.303
"16",0.363
"4",0.909
"1",0.242
"4",0.061
"16",0.545
"16",0.061
"16",0.061
"4",0.121
"9",0.061
